City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Cidreira,BR,2022-12-27 22:28:56,-30.1811,-50.2056,70.12,68,92,6.26,moderate rain
172,Keti Bandar,PK,2022-12-27 22:28:56,24.1447,67.4497,68.77,24,0,8.25,clear sky
173,Naryan-Mar,RU,2022-12-27 22:28:56,67.6713,53.087,13.42,91,100,10.54,overcast clouds
174,Victoria,HK,2022-12-27 22:26:43,22.2855,114.1577,60.33,80,29,8.01,scattered clouds
175,Rio Gallegos,AR,2022-12-27 22:27:30,-51.6226,-69.2181,53.65,32,40,33.38,scattered clouds
176,Corbelia,BR,2022-12-27 22:28:57,-24.7989,-53.3067,78.15,74,47,3.02,scattered clouds
177,Husavik,IS,2022-12-27 22:29:57,66.0449,-17.3389,19.54,93,100,3.65,light snow
178,Ascona,CH,2022-12-27 22:29:57,46.1545,8.7733,48.29,94,0,2.3,clear sky
179,Mattru,SL,2022-12-27 22:29:58,7.6244,-11.8332,74.82,84,40,2.44,scattered clouds
180,Bela,IN,2022-12-27 22:29:58,25.9333,81.9833,50.7,57,0,8.23,clear sky
181,Broome,US,2022-12-27 22:29:58,42.2506,-75.833,25.7,80,100,1.99,overcast clouds
182,Jaleswar,NP,2022-12-27 22:29:59,26.6471,85.8008,51.48,64,0,3.22,clear sky
183,Saint George,US,2022-12-27 22:26:01,37.1041,-113.5841,55.44,50,100,4.61,overcast clouds
184,Pichayevo,RU,2022-12-27 22:29:59,53.2363,42.2032,27.12,93,100,15.95,light snow
185,Sao Felix Do Xingu,BR,2022-12-27 22:29:59,-6.6447,-51.995,72.81,99,98,2.28,overcast clouds
186,Lerwick,GB,2022-12-27 22:29:59,60.1545,-1.1494,41.0,68,100,25.01,overcast clouds
187,Coquimbo,CL,2022-12-27 22:30:00,-29.9533,-71.3436,67.73,72,0,11.5,clear sky
188,Taoudenni,ML,2022-12-27 22:30:00,22.6783,-3.9836,70.0,22,3,12.12,clear sky
189,Robertsport,LR,2022-12-27 22:30:00,6.7533,-11.3686,80.53,78,8,6.44,clear sky
190,Kloulklubed,PW,2022-12-27 22:30:01,7.0419,134.2556,75.7,75,75,6.24,broken clouds
191,Shetpe,KZ,2022-12-27 22:30:01,44.1667,52.1167,28.6,76,61,1.66,broken clouds
192,Juneau,US,2022-12-27 22:30:01,58.3019,-134.4197,36.21,100,100,3.44,fog
